isFake,userBiographyLength,userFollowerCount,userFollowingCount,userHasProfilPic,userIsPrivate,userMediaCount,usernameDigitCount,usernameLength
1,0,25,1937,1,1,0,0,10
1,0,324,4122,1,0,0,4,15
1,0,15,399,0,0,0,3,12
1,0,14,107,1,0,1,1,10
1,0,264,4651,1,0,0,0,14
1,0,33,1470,1,1,2,4,13
1,30,420,4883,1,0,8,0,12
1,0,442,6662,1,0,396,0,11
1,0,816,7497,1,0,85,3,15
1,1,150,6631,1,1,0,3,8
1,0,235,7202,1,1,1,2,14
1,0,99,1358,1,0,1,3,7
1,0,59,6603,0,1,0,0,12
1,0,4,179,1,0,1,0,17
1,58,39,1022,0,0,0,3,30
1,0,8,23,0,0,0,0,10
1,26,622,364,0,0,2,0,9
1,0,37,207,0,0,0,0,15
1,34,66,244,0,0,0,0,11
1,0,32,4,1,0,1,2,10
1,0,27,354,1,1,0,4,10
1,0,47,106,0,0,0,3,11
1,0,25,136,0,1,0,2,8
1,0,5,243,0,1,1,0,12
1,0,0,848,0,1,0,4,9
1,111,232,6013,1,0,1,1,20
1,11,534,539,1,0,0,0,11
1,0,1,8,0,0,0,0,11
1,0,0,126,1,1,0,0,5
1,0,5,77,1,0,0,4,10
1,0,0,6,0,1,0,7,11
1,16,80,1844,1,1,1,0,9
1,53,87,851,1,0,0,0,8
1,89,29,1603,1,0,2,0,11
1,0,247,1749,1,0,3,4,10
1,0,290,2269,0,1,0,0,12
1,16,12,2721,1,1,1,0,13
1,0,46,2521,0,0,0,2,12
1,13,2,1973,0,1,0,1,11
1,0,8,1359,1,0,0,0,8
1,10,36,2004,0,1,6,2,13
1,8,37,1982,1,0,1,3,9
1,0,61,992,1,0,0,4,10
1,17,105,6802,1,0,0,0,6
1,20,607,7455,0,1,0,0,9
1,0,14,1725,1,1,0,4,9
1,0,69,3577,0,0,1,1,9
1,0,26,1919,0,0,0,0,12
1,0,12,1710,1,0,1,3,13
1,0,12,1377,0,0,0,5,15
1,50,51,3241,1,1,0,2,13
1,0,8,1709,1,1,0,2,7
1,27,514,1999,1,0,0,0,6
1,53,104,1423,0,0,0,0,13
1,0,83,2012,1,1,0,2,12
1,9,69,1374,1,1,0,1,7
1,0,282,2517,1,0,5,2,11
1,23,49,2499,1,0,1,4,17
1,0,14,3359,1,0,0,1,7
1,0,49,2987,0,0,0,0,8
1,0,20,3543,0,0,0,1,11
1,0,63,2318,1,0,0,4,9
1,0,5,964,1,0,1,0,9
1,0,58,826,1,0,0,4,12
1,0,110,1612,0,1,0,4,12
1,0,21,946,1,0,1,1,10
1,0,15,659,1,0,1,0,8
1,0,2,757,1,0,0,3,13
1,15,125,1396,1,1,0,2,12
1,0,14,3086,1,0,1,0,11
1,0,4,883,1,0,0,1,7
1,37,11,1898,1,1,0,2,9
1,0,3208,1911,0,0,0,5,15
1,0,0,2513,1,1,1,0,13
1,85,124,1411,1,1,0,0,13
1,0,441,2772,0,1,0,2,9
1,0,10,1768,0,0,0,4,14
1,0,14,1229,0,1,4,0,14
1,0,16,2473,0,0,0,0,13
1,0,22,2666,0,1,0,2,9
1,0,24,2503,1,0,1,4,9
1,0,32,2471,0,0,0,3,13
1,0,102,332,0,0,0,1,7
1,4,53,620,1,1,1,0,8
1,0,9,1770,0,0,0,0,8
1,0,12,2319,0,0,0,3,10
1,0,7,2116,0,0,0,2,12
1,0,52,2479,1,0,0,0,14
1,0,14,1803,1,0,0,0,11
1,0,22,1330,1,0,0,3,10
1,0,4,1546,0,0,0,0,11
1,0,58,2132,0,0,0,0,14
1,0,8,2039,1,0,0,4,11
1,0,22,4006,0,0,0,0,8
1,0,15,3949,0,0,0,2,13
1,0,26,3400,0,0,0,2,8
1,70,32,3921,1,0,0,2,11
1,0,34,7158,0,0,0,1,10
1,129,47,3999,1,1,0,0,12
1,0,162,171,0,1,1,0,15
1,0,643,2240,1,0,2,1,11
1,0,147,2387,1,0,0,2,10
1,0,35,4621,0,0,0,4,17
1,0,11,4677,0,0,0,3,8
1,0,52,4614,1,0,0,0,14
1,0,33,5133,1,0,2,8,13
1,0,29,5105,0,0,0,5,18
1,0,6,961,1,0,0,5,8
1,70,64,190,1,0,3,0,16
1,0,18,1741,0,0,0,0,11
1,0,163,6747,1,0,3,0,10
1,0,6,181,1,0,1,3,15
1,0,17,1299,1,0,1,0,18
1,0,16,266,0,0,0,2,14
1,9,153,1195,1,0,0,0,9
1,0,38,1678,0,0,0,5,19
1,0,959,2107,1,0,3,0,8
1,0,109,1722,1,1,8,5,11
1,0,129,1796,1,1,5,0,8
1,0,35,2553,1,0,1,0,21
1,0,6,866,0,1,2,0,10
1,0,19,4046,1,0,1,5,19
1,110,34,938,1,0,3,0,15
1,0,494,3853,1,0,1,4,18
1,24,30,940,1,0,3,0,10
1,85,26,1392,1,0,3,1,13
1,0,5,16,0,1,0,0,9
1,0,160,2246,1,0,1,3,10
1,0,48,179,1,0,4,0,8
1,6,55,776,1,0,1,0,11
1,0,11,159,0,0,1,3,14
1,74,185,1928,1,0,3,0,12
1,0,11,2258,1,0,3,0,18
1,19,29,1857,1,0,1,3,8
1,14,39,481,1,0,2,0,19
1,57,71,31,1,0,3,1,11
1,0,3,151,0,1,0,0,16
1,0,1,1807,0,1,0,2,12
1,0,3,76,1,1,0,2,12
1,0,11,76,0,0,0,2,13
1,0,1,67,0,1,0,0,8
1,0,29,41,0,1,0,0,9
1,0,0,3,0,0,0,3,10
1,0,13,114,0,0,0,4,9
1,0,17,183,0,1,0,1,10
1,0,24,696,0,1,0,0,9
1,0,3,157,0,1,0,4,9
1,0,0,54,0,1,0,0,11
1,24,11,344,0,1,0,4,9
1,0,1,282,0,1,0,0,15
1,0,0,577,0,1,0,0,14
1,0,0,434,0,1,0,0,12
1,0,2,57,0,0,0,2,10
1,0,26,142,0,0,0,0,9
1,0,49,111,0,1,0,5,10
1,0,1,127,1,1,0,0,10
1,0,16,486,1,1,0,0,13
1,0,25,322,1,0,0,0,8
1,0,0,194,1,1,0,0,9
1,14,0,174,1,1,0,1,9
1,0,0,524,1,1,0,0,6
1,0,5,460,1,1,1,1,7
1,0,0,753,1,1,9,0,13
1,0,0,140,1,1,0,2,7
1,0,301,7493,1,1,0,4,10
1,0,368,6929,1,0,2,0,7
1,10,80,4839,1,0,5,0,8
1,0,28,4518,1,0,1,2,6
1,0,223,1735,1,0,6,2,9
1,0,140,1104,1,0,3,0,15
1,130,85,1401,1,0,9,3,16
1,35,32,2184,1,0,2,2,18
1,36,34,3681,1,0,1,0,9
1,0,14,2429,1,0,1,0,16
1,12,11,1008,1,0,1,0,12
1,50,228,4956,1,1,1,3,9
1,0,133,145,1,0,4,0,15
1,0,407,3792,1,0,1,3,9
1,0,64,359,1,0,6,0,7
1,0,288,4276,1,0,1,5,9
1,3,307,4887,1,0,3,0,22
1,0,88,266,1,0,1,0,9
1,0,145,2291,0,0,1,7,15
1,0,34,219,0,0,2,0,20
1,0,165,618,1,0,0,0,8
1,0,165,752,0,1,0,3,8
